month,created_count,closed_count,backlog_end,avg_resolution_hours,median_resolution_hours,p90_resolution_hours,share_closed_within_24h,share_closed_within_72h,share_closed_within_168h,share_closed_within_336h
2012-09,1,0,1,,,,,,,
2012-11,0,1,0,2044.0066666666667,2044.0066666666667,2044.0066666666667,0.0,0.0,0.0,0.0
2013-01,2,0,2,,,,,,,
2013-03,0,1,0,1879.5969444444445,1879.5969444444445,1879.5969444444445,0.0,0.0,0.0,0.0
2013-04,1,0,1,,,,,,,
2013-05,1,1,1,486.985,486.985,486.985,0.0,0.0,0.0,0.0
2013-06,1,1,1,649.9294444444445,649.9294444444445,649.9294444444445,0.0,0.0,0.0,0.0
2013-09,0,1,0,2619.028888888889,2619.028888888889,2619.028888888889,0.0,0.0,0.0,0.0
2014-01,1,0,1,,,,,,,
2014-02,1,0,1,,,,,,,
2014-04,1,0,2,,,,,,,
2014-07,1,0,2,,,,,,,
2014-10,1,0,3,,,,,,,
2014-11,4,0,4,,,,,,,
2014-12,1,0,1,,,,,,,
2015-03,4,0,7,,,,,,,
2015-05,3,0,7,,,,,,,
2015-07,3,0,9,,,,,,,
2015-08,1,1,9,7309.1925,7309.1925,7309.1925,0.0,0.0,0.0,0.0
2015-09,2,0,10,,,,,,,
2015-11,1,0,3,,,,,,,
2016-01,4,0,7,,,,,,,
2016-02,4,0,14,,,,,,,
2016-03,2,0,3,,,,,,,
2016-04,4,0,17,,,,,,,
2016-05,2,0,4,,,,,,,
2016-06,1,0,1,,,,,,,
2016-07,1,0,15,,,,,,,
2016-08,7,1,15,22128.34888888889,22128.34888888889,22128.34888888889,0.0,0.0,0.0,0.0
2016-09,1,0,16,,,,,,,
2016-11,1,0,3,,,,,,,
2017-01,2,0,7,,,,,,,
2017-02,2,1,14,20233.059166666666,20233.059166666666,20233.059166666666,0.0,0.0,0.0,0.0
2017-03,1,0,8,,,,,,,
2017-04,2,0,3,,,,,,,
2017-05,2,0,18,,,,,,,
2017-06,2,0,5,,,,,,,
2017-07,4,0,29,,,,,,,
2017-09,1,0,1,,,,,,,
2017-10,3,0,8,,,,,,,
2017-11,1,1,2,192.4775,192.4775,192.4775,0.0,0.0,0.0,1.0
2017-12,5,0,27,,,,,,,
2018-01,3,0,34,,,,,,,
2018-02,1,0,1,,,,,,,
2018-03,2,0,11,,,,,,,
2018-04,4,0,34,,,,,,,
2018-05,4,1,34,15135.573055555555,15135.573055555555,15135.573055555555,0.0,0.0,0.0,0.0
2018-06,6,0,29,,,,,,,
2018-07,3,0,15,,,,,,,
2018-09,2,0,10,,,,,,,
2018-10,3,0,15,,,,,,,
2018-11,2,0,13,,,,,,,
2018-12,1,0,25,,,,,,,
2019-01,4,0,24,,,,,,,
2019-02,2,0,13,,,,,,,
2019-03,4,0,21,,,,,,,
2019-04,3,0,15,,,,,,,
2019-05,4,0,48,,,,,,,
2019-06,5,0,26,,,,,,,
2019-07,4,0,27,,,,,,,
2019-08,1,0,5,,,,,,,
2019-09,5,0,45,,,,,,,
2019-10,6,0,36,,,,,,,
2019-11,6,0,49,,,,,,,
2019-12,7,0,90,,,,,,,
2020-01,4,0,18,,,,,,,
2020-02,10,0,66,,,,,,,
2020-03,8,1,77,32136.262222222223,32136.262222222223,32136.262222222223,0.0,0.0,0.0,0.0
2020-04,6,0,88,,,,,,,
2020-05,5,0,23,,,,,,,
2020-06,6,1,32,218.86777777777777,218.86777777777777,218.86777777777777,0.0,0.0,0.0,1.0
2020-07,4,0,21,,,,,,,
2020-08,3,1,40,4583.9175,4583.9175,4583.9175,0.0,0.0,0.0,0.0
2020-09,9,1,55,2915.9605555555554,2915.9605555555554,2915.9605555555554,0.0,0.0,0.0,0.0
2020-10,5,0,51,,,,,,,
2020-11,8,1,101,43.520833333333336,43.520833333333336,43.520833333333336,0.0,1.0,1.0,1.0
2020-12,5,1,9,4.058055555555556,4.058055555555556,4.058055555555556,1.0,1.0,1.0,1.0
2021-01,7,1,30,364.80833333333334,364.80833333333334,364.80833333333334,0.0,0.0,0.0,0.0
2021-02,6,0,52,,,,,,,
2021-03,10,2,111,1573.3283333333331,1573.3283333333331,1573.3283333333331,0.5,0.5,0.5,0.5
2021-04,7,0,69,,,,,,,
2021-05,6,1,44,11.425,11.425,11.425,1.0,1.0,1.0,1.0
2021-06,13,0,111,,,,,,,
2021-07,4,0,35,,,,,,,
2021-08,9,2,82,9495.066527777777,9495.066527777777,9495.066527777777,0.0,0.0,0.0,0.0
2021-09,5,1,43,63.0,63.0,63.0,0.0,1.0,1.0,1.0
2021-10,8,0,88,,,,,,,
2021-11,3,0,53,,,,,,,
2021-12,7,0,71,,,,,,,
2022-01,6,0,76,,,,,,,
2022-02,11,1,45,120.10138888888889,120.10138888888889,120.10138888888889,0.0,0.0,1.0,1.0
2022-03,7,2,78,748.1284722222223,748.1284722222223,748.1284722222223,0.0,0.0,0.0,0.5
2022-04,6,0,85,,,,,,,
2022-05,5,0,30,,,,,,,
2022-06,7,1,73,1818.4927777777777,1818.4927777777777,1818.4927777777777,0.0,0.0,0.0,0.0
2022-07,16,0,147,,,,,,,
2022-08,9,0,146,,,,,,,
2022-09,17,0,156,,,,,,,
2022-10,15,2,125,55.49527777777778,55.49527777777778,55.49527777777778,0.5,0.5,1.0,1.0
2022-11,16,0,203,,,,,,,
2022-12,14,1,123,1014.6797222222223,1014.6797222222223,1014.6797222222223,0.0,0.0,0.0,0.0
2023-01,25,2,227,56.75819444444444,56.75819444444444,56.75819444444444,0.5,0.5,1.0,1.0
2023-02,19,0,273,,,,,,,
2023-03,18,2,251,613.5018055555555,613.5018055555555,1045.5270277777777,0.0,0.0,0.5,0.5
2023-04,29,4,232,74.69034722222221,74.69034722222221,82.48501388888889,0.5,0.75,0.75,1.0
2023-05,19,2,278,17198.362638888888,17198.362638888888,17198.362638888888,0.0,0.0,0.0,0.0
2023-06,24,2,305,1530.6490277777777,1530.6490277777777,1530.6490277777777,0.0,0.0,0.0,0.0
2023-07,22,5,294,13002.621166666666,13002.621166666666,13002.621166666666,0.2,0.4,0.6,0.6
2023-08,36,1,400,49868.083333333336,49868.083333333336,49868.083333333336,0.0,0.0,0.0,0.0
